RelativePath,SourceBytes,Status,Method,OutputPath,Notes
"9A91_Jade.CFG",466,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\9A91_Jade.CFG.png","raw RGB strip, pixels=156, variableChannel=B, uniqueBytes=6, FF=66.7 %"
"9A91_Scorpius.CFG",481,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\9A91_Scorpius.CFG.png","raw RGB strip, pixels=161, variableChannel=G, uniqueBytes=8, FF=66.7 %"
"9A91_Xmas2015.CFG",478,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\9A91_Xmas2015.CFG.png","raw RGB strip, pixels=160, variableChannel=R, uniqueBytes=7, FF=66.5 %"
"AA12_Buster.CFG",620,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AA12_Buster.CFG.png","raw RGB strip, pixels=207, variableChannel=B, uniqueBytes=12, FF=66.8 %"
"AA12_Buster_Changemode.CFG",624,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AA12_Buster_Changemode.CFG.png","raw RGB strip, pixels=208, variableChannel=R, uniqueBytes=22, FF=66.7 %"
"AA12_Buster_PVP.CFG",636,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AA12_Buster_PVP.CFG.png","raw RGB strip, pixels=212, variableChannel=R, uniqueBytes=15, FF=66.7 %"
"AA12_Xmas2015.CFG",478,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AA12_Xmas2015.CFG.png","raw RGB strip, pixels=160, variableChannel=R, uniqueBytes=4, FF=66.5 %"
"AI_Grenade_gold.CFG",517,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AI_Grenade_gold.CFG.png","raw RGB strip, pixels=173, variableChannel=B, uniqueBytes=9, FF=66.7 %"
"AI_WAVE-Gold-Blaster.CFG",500,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AI_WAVE-Gold-Blaster.CFG.png","raw RGB strip, pixels=167, variableChannel=G, uniqueBytes=13, FF=66.6 %"
"AI_WAVE-Shield.CFG",606,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AI_WAVE-Shield.CFG.png","raw RGB strip, pixels=202, variableChannel=B, uniqueBytes=19, FF=66.7 %"
