rank,candidate_id,relative_path,candidate_type,score,sha256,primary_recall_reason,config_reference_count,related_texture_count,related_shader_count,related_sound_count,mesh_count,triangle_count,identity_status,next_action
1,P5T01-C00457,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_BornBeast.LTB,model,220,5dbcee45c4565b2026a4e4d2d639a4b7022b4f4fc1c5ef69bc8f49fd5a6c54f7,keyword:M4,6,3,0,1,11,5342,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
2,P5T01-C00476,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_BornBeast_Classic.LTB,model,220,5dbcee45c4565b2026a4e4d2d639a4b7022b4f4fc1c5ef69bc8f49fd5a6c54f7,keyword:M4,4,5,0,1,11,5342,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
3,P5T01-C00470,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_BornBeast_BL.LTB,model,210,28e8958fe464c1f0f3691a8d38f56bf058b7cb73f6534fba947951876c522588,keyword:M4,1,7,0,1,,,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
4,P5T01-C00477,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_BornBeast_Classic_BL.LTB,model,210,e3c2b1bc115530095032ab9238e5f5c3a3a0e83fab709da85f199afb2d06ea1e,keyword:M4,2,7,0,1,,,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
5,P5T01-C01290,data/rf016/Models/WEAPONS/QV-M4A1_S_BornBeast.LTB,model,170,96e2320009bd125730defca37fabecbd015f73fee6090eb7ae019ade2cc3504c,keyword:M4,1,7,0,1,,,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
6,P5T01-C00229,data/rf016/Models/PLAYERVIEW/PV-EliteMOS_M4A1_IronBeast.LTB,model,120,f2d1a99c29e1042653630d40d773a009fc5928b44d2ab572494d2c531acccd9b,keyword:M4,0,7,0,1,5,5958,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
7,P5T01-C00248,data/rf016/Models/PLAYERVIEW/PV-GunNiang_B_M4A1_S_IronBeast.LTB,model,120,f8ad721143dd025d971c11c8c556ea9d4c957f0b06dbcef93650f7f3d42c31c7,keyword:M4,0,7,0,1,5,8579,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
8,P5T01-C00290,data/rf016/Models/PLAYERVIEW/PV-M4A1_BORNBEAST_NG_WIND.LTB,model,120,9356a07229b956061558e47b5a97fdda86d096afe25d8b20700e412c5ccd75c2,keyword:M4,0,7,0,1,5,3183,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
9,P5T01-C00386,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_AngelicBeast.LTB,model,120,8ded4b86b7e49d7b7f7638a823fa03468d43172df11715ba7e25f93665cba474,keyword:M4,0,7,0,1,7,11168,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
10,P5T01-C00389,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_AngelicBeast_Sprint.LTB,model,120,35531bfdd74cb53d128dd1cbf1ecfd9e03c253fc427add5475954cd5d4612514,keyword:M4,0,7,0,1,7,11168,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
11,P5T01-C00401,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_Beast.LTB,model,120,28d16db9f522e7fe318060804f6572ce88edda299a20639d44a356acdc30e751,keyword:M4,0,7,0,1,5,3183,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
12,P5T01-C00403,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_Beast_Champion.LTB,model,120,5484f97e21100d4ac521590af6983d367fa65b24ad633b53c5ff643a01fa3745,keyword:M4,0,7,0,1,5,3183,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
13,P5T01-C00414,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_Beast_Medusa.LTB,model,120,855a71a38e679924d637adcee44dd6d3e46dbfb070cb8c6b02c88094b72ea7f3,keyword:M4,0,7,0,1,5,3183,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
14,P5T01-C00419,data/rf016/Models/PLAYERVIEW/PV-M4A1_S_Beast_NG_GoldenWind.LTB,model,120,5484f97e21100d4ac521590af6983d367fa65b24ad633b53c5ff643a01fa3745,keyword:M4,0,7,0,1,5,3183,CANDIDATE_ONLY,P5-T02 geometry/parts comparison
